gap_hours,iuu_caught,spherical_distances,eez_check,exact _name new from diff Oceans,gap_x_distance,score,gear type
55.13333333,0,4.061909614,1,Sea of Okhotsk,223.9466167,98,fishing
13.75,0,257.5101815,1,Japan Sea,3540.764996,94,pots_and_traps
14.71666667,0,258.6833013,1,Sea of Okhotsk,3806.955918,98,pole_and_line
168.7333333,0,17.92759566,1,Bering Sea,3024.982974,94,pots_and_traps
142.4666667,0,189.7882288,1,Bering Sea,27038.49634,98,pots_and_traps
37.96666667,0,4.015864627,0,South Atlantic Ocean,152.4689937,94,fishing
164.35,0,73.01527589,0,South Atlantic Ocean,12000.06059,94,fishing
39.93333333,0,335.5072976,0,North Pacific Ocean,13397.92475,98,trollers
46.65,0,555.9590292,1,Bering Sea,25935.48871,98,set_longlines
32.43333333,0,21.90072143,1,Bering Sea,710.3133983,91,pots_and_traps
588.2666667,0,175.3439704,1,North Atlantic Ocean,103149.013,94,purse_seines
64.35,0,60.5642261,1,Gulf of Guinea,3897.30795,94,purse_seines
202.0333333,0,139.4209157,1,Bering Sea,28167.67233,91,set_longlines
4731.05,0,913.6804412,1,Bering Sea,4322667.851,91,set_longlines
130.1,0,66.92468089,1,Bering Sea,8706.900984,84,pots_and_traps
14.51666667,0,36.1012497,1,Bering Sea,524.0698083,84,pots_and_traps
38.13333333,0,20.16093105,1,Bering Sea,768.803504,94,set_longlines
434.7166667,0,532.869115,1,Bering Sea,231647.0855,94,set_longlines
39.65,0,56.21022209,1,Bering Sea,2228.735306,91,pots_and_traps
19.78333333,0,13.19278804,1,Bering Sea,260.9973233,98,fixed_gear
13.31666667,0,5.250643901,1,North Atlantic Ocean,69.92107463,98,fishing
164.1166667,0,115.9850676,1,Bering Sea,19035.08268,98,pots_and_traps
161.7,0,140.4697013,1,Bering Sea,22713.9507,94,pots_and_traps
386.8,0,70.74799899,1,Bering Sea,27365.32601,98,pots_and_traps
99.95,0,180.8388075,1,Bering Sea,18074.83881,94,pots_and_traps
62.05,0,34.11565769,1,Gulf of Alaska,2116.87656,94,set_longlines
24,0,32.86927604,1,Gulf of Alaska,788.862625,94,set_longlines
13.03333333,0,220.9021147,1,Bering Sea,2879.090894,98,pots_and_traps
43.1,0,21.73806987,1,Bering Sea,936.9108114,91,set_longlines
222.5333333,0,679.9277082,1,Bering Sea,151306.5793,98,pots_and_traps
559.05,0,203.7974408,1,Bering Sea,113932.9593,98,set_longlines
15.45,0,173.6375047,1,Gulf of Alaska,2682.699448,91,set_longlines
24.88333333,0,20.91987197,1,North Pacific Ocean,520.5561475,94,fishing
88.36666667,0,2.986085048,1,Gulf of Alaska,263.8703821,94,set_longlines
48.43333333,0,89.77466532,1,Bering Sea,4348.08629,94,pots_and_traps
23.13333333,0,23.94905233,0,North Pacific Ocean,554.0214105,89,fishing
15.48333333,0,12.25298871,1,Bering Sea,189.7171085,98,pots_and_traps
36.25,0,391.7570919,0,South Pacific Ocean,14201.19458,94,purse_seines
313.5333333,0,203.2752193,1,Gulf of Alaska,63733.55708,91,fishing
94.56666667,0,1.733681526,1,Bering Sea,163.948483,91,set_longlines
48.21666667,0,97.818099,1,Bering Sea,4716.462674,98,set_longlines
19.06666667,0,227.4354561,1,Bering Sea,4336.43603,98,set_longlines
2059.35,0,147.0676409,1,Bering Sea,302863.7463,98,set_longlines
1081.783333,0,371.9785714,1,Bering Sea,402400.2188,98,set_longlines
14.86666667,0,8.877409707,0,South Pacific Ocean,131.977491,94,fishing
69.26666667,0,91.13602703,0,South Pacific Ocean,6312.688806,89,fishing
143.6333333,0,296.5006944,1,Bering Sea,42587.38306,94,set_longlines
12.7,0,97.91551319,1,Bering Sea,1243.527018,94,set_longlines
14.83333333,0,117.7766388,0,North Pacific Ocean,1747.020142,98,fishing
15.28333333,0,44.47013214,1,North Pacific Ocean,679.6518527,98,fishing
36.51666667,0,25.2334472,1,North Atlantic Ocean,921.4413803,98,dredge_fishing
12.4,0,4.453359785,1,Bering Sea,55.22166133,91,set_longlines
52.65,0,672.4501387,1,Bering Sea,35404.4998,88,set_longlines
15.11666667,0,13.77285671,0,South Atlantic Ocean,208.199684,89,fishing
45.41666667,0,92.40232047,0,South Atlantic Ocean,4196.605388,89,fishing
13.98333333,0,5.877058663,0,South Atlantic Ocean,82.18087028,91,fishing
12.85,0,11.81359916,0,South Atlantic Ocean,151.8047492,91,fishing
12.88333333,0,219.1679269,0,South Atlantic Ocean,2823.613457,94,drifting_longlines
15.71666667,0,23.27829777,0,South Atlantic Ocean,365.8572467,94,drifting_longlines
12.53333333,0,39.26349515,0,South Atlantic Ocean,492.1024724,91,fishing
12.45,0,11.40450733,0,South Atlantic Ocean,141.9861163,91,fishing
13.66666667,0,7.075646758,0,North Pacific Ocean,96.70050572,91,fishing
13.11666667,0,8.634306861,0,North Pacific Ocean,113.253325,91,fishing
12.25,0,30.16489183,0,North Pacific Ocean,369.5199249,91,fishing
96.73333333,0,1443.300452,0,South Pacific Ocean,139615.2637,98,fishing
67.66666667,0,21.42954095,0,North Pacific Ocean,1450.065604,89,fishing
18.1,0,81.22811702,0,North Pacific Ocean,1470.228918,89,trawlers
312.8166667,0,1565.772141,1,South Pacific Ocean,489799.622,94,fishing
31.51666667,0,518.5480427,0,South Pacific Ocean,16342.90581,94,fishing
15.11666667,0,234.921053,0,North Pacific Ocean,3551.223252,88,pole_and_line
12.71666667,0,106.8604533,0,North Pacific Ocean,1358.908765,91,pole_and_line
13.96666667,0,235.8600439,0,North Pacific Ocean,3294.178614,94,pole_and_line
28.36666667,0,124.6428685,1,North Pacific Ocean,3535.702704,88,pole_and_line
17.8,0,299.0599375,0,North Pacific Ocean,5323.266888,91,pole_and_line
13.21666667,0,28.63850449,0,North Pacific Ocean,378.5055678,86,pole_and_line
12.21666667,0,46.6144408,0,North Pacific Ocean,569.4730853,94,pole_and_line
566.5166667,0,127.8790371,1,Bering Sea,72445.60584,94,fishing
12.9,0,122.1337129,0,North Pacific Ocean,1575.524896,89,fishing
58.45,0,25.20946558,1,Southern Ocean,1473.493263,98,set_longlines
25.66666667,0,51.13558263,1,South Atlantic Ocean,1312.479954,98,set_longlines
105.4333333,0,1659.763582,1,Southern Ocean,174994.4069,94,set_longlines
