mmsi,score,flag,gear type,vessel type
431200412,91.84959,JPN,pole_and_line,Fishing
431255000,94.54137,JPN,pole_and_line,Fishing
431459000,91.84959,JPN,pole_and_line,Fishing
432384000,91.84959,JPN,pole_and_line,Fishing
432567899,91.84959,JPN,set_longlines,Fishing
432869000,94.54137,JPN,fishing,Fishing
503062820,91.84959,AUS,set_gillnets,Fishing
503073520,91.84959,AUS,fishing,Fishing
512005403,98.627975,NZL,fishing,Fishing
601058800,98.627975,ZAF,pole_and_line,Fishing
601078200,89.839066,ZAF,pole_and_line,Fishing
601611000,94.54137,ZAF,pole_and_line,Fishing
627682000,98.627975,GHA,pole_and_line,Fishing
650000159,91.84959,MOZ,fishing,Fishing
663213000,98.627975,SEN,fishing,Fishing
701006427,94.54137,ARG,fishing,Fishing
770576305,94.54137,URY,set_longlines,Fishing
900028533,94.54137,other,fishing,Fishing
6600006,85.75247,REU,pole_and_line,Fishing
200000004,128.73192,other,fishing,Fishing
204201560,94.54137,PRT,pole_and_line,Fishing
204209890,94.54137,PRT,pole_and_line,Fishing
224090990,98.627975,ESP,fishing,Fishing
224175430,94.54137,ESP,set_longlines,Fishing
225378000,89.839066,ESP,set_longlines,Fishing
227894000,94.54137,FRA,set_gillnets,Fishing
228221000,91.84959,FRA,set_longlines,Fishing
232006270,94.54137,GBR,set_gillnets,Fishing
235101000,94.54137,GBR,set_gillnets,Fishing
257259320,88.2337,NOR,fixed_gear,Fishing
257582600,98.627975,NOR,set_longlines,Fishing
257599500,94.54137,NOR,set_longlines,Fishing
257969600,94.54137,NOR,set_gillnets,Fishing
259489000,91.84959,NOR,set_longlines,Fishing
273322990,98.627975,RUS,set_longlines,Fishing
273345230,94.54137,RUS,set_longlines,Fishing
273398450,98.627975,RUS,set_longlines,Fishing
273828000,98.627975,RUS,fixed_gear,Fishing
303072000,94.54137,USA,pots_and_traps,Fishing
316001022,94.54137,CAN,trollers,Fishing
316001980,91.84959,CAN,fishing,Fishing
316004293,91.84959,CAN,set_gillnets,Fishing
316006095,88.2337,CAN,drifting_longlines,Fishing
366183000,91.84959,USA,pots_and_traps,Fishing
366749490,94.54137,USA,pole_and_line,Fishing
366906730,98.627975,USA,set_longlines,Fishing
366993150,94.54137,USA,pots_and_traps,Fishing
367033950,89.839066,USA,fixed_gear,Fishing
367494810,91.84959,USA,fishing,Fishing
367506420,94.54137,USA,set_longlines,Fishing
367581000,94.54137,USA,pots_and_traps,Fishing
367609000,98.627975,USA,pots_and_traps,Fishing
368454000,94.54137,USA,pots_and_traps,Fishing
368526000,91.84959,USA,pots_and_traps,Fishing
412203012,89.839066,CHN,fixed_gear,Fishing
412440281,88.2337,CHN,fishing,Fishing
412440359,91.84959,CHN,fishing,Fishing
412440481,89.839066,CHN,fishing,Fishing
431001270,98.627975,JPN,pole_and_line,Fishing
431200970,91.84959,JPN,pole_and_line,Fishing
431903000,94.54137,JPN,pole_and_line,Fishing
440854000,94.54137,KOR,set_longlines,Fishing
503005450,91.84959,AUS,fishing,Fishing
503061880,94.54137,AUS,fishing,Fishing
512001685,98.627975,NZL,pole_and_line,Fishing
512006000,94.54137,NZL,set_longlines,Fishing
518873000,94.54137,COK,fishing,Fishing
553111844,98.627975,PNG,fishing,Fishing
601033800,91.84959,ZAF,fishing,Fishing
601391000,91.84959,ZAF,pole_and_line,Fishing
601516200,94.54137,ZAF,pole_and_line,Fishing
635225000,98.627975,ATF,set_longlines,Fishing
645277000,94.54137,MUS,fishing,Fishing
659063000,94.54137,NAM,set_longlines,Fishing
710616282,98.627975,BRA,pole_and_line,Fishing
710632678,94.54137,BRA,fishing,Fishing
719002918,94.54137,other,set_longlines,Fishing
770576071,98.627975,URY,fishing,Fishing
200000822,84.75116,other,trawlers,Fishing
204211450,94.54137,PRT,pole_and_line,Fishing
224026880,91.84959,ESP,set_gillnets,Fishing
224042130,94.54137,ESP,fishing,Fishing
227344000,91.84959,FRA,set_longlines,Fishing
227376000,89.839066,FRA,set_longlines,Fishing
228107800,98.627975,FRA,other_seines,Fishing
231150000,98.627975,FRO,set_longlines,Fishing
257225000,94.54137,NOR,set_longlines,Fishing
258205000,98.627975,NOR,fixed_gear,Fishing
258351000,94.54137,NOR,set_longlines,Fishing
259129000,94.54137,NOR,fishing,Fishing
259309000,94.54137,NOR,set_longlines,Fishing
259324000,98.627975,NOR,purse_seines,Fishing
259375000,94.54137,NOR,other_purse_seines,Fishing
259474000,94.54137,NOR,set_longlines,Fishing
259602000,98.627975,NOR,fishing,Fishing
273384310,94.54137,RUS,fixed_gear,Fishing
273391870,94.54137,RUS,pots_and_traps,Fishing
273430790,94.54137,RUS,fishing,Fishing
273827030,94.54137,RUS,set_longlines,Fishing
273848600,98.627975,RUS,fixed_gear,Fishing
275454000,94.54137,LVA,fixed_gear,Fishing
316001649,94.54137,CAN,set_longlines,Fishing
316002445,91.84959,CAN,fishing,Fishing
338129000,98.627975,USA,set_longlines,Fishing
366927920,98.627975,USA,fishing,Fishing
367123290,89.839066,USA,fishing,Fishing
367175590,94.54137,USA,set_longlines,Fishing
367323610,98.627975,USA,fishing,Fishing
368113050,98.627975,USA,fishing,Fishing
431357000,91.84959,JPN,fishing,Fishing
431600280,91.84959,JPN,pole_and_line,Fishing
500010210,94.54137,other,purse_seines,Fishing
503031220,94.54137,AUS,set_longlines,Fishing
503040350,98.627975,AUS,set_longlines,Fishing
576825000,94.54137,VUT,fishing,Fishing
601151600,91.84959,ZAF,pole_and_line,Fishing
601203600,91.84959,ZAF,set_longlines,Fishing
601406000,98.627975,ZAF,pole_and_line,Fishing
601615000,91.84959,ZAF,pole_and_line,Fishing
601748000,98.627975,ZAF,fishing,Fishing
601772000,91.84959,ZAF,pole_and_line,Fishing
204209960,94.54137,PRT,pole_and_line,Fishing
204835000,94.54137,PRT,pole_and_line,Fishing
224025440,89.839066,ESP,fishing,Fishing
224073650,91.84959,ESP,fishing,Fishing
224103970,91.84959,ESP,set_longlines,Fishing
224108670,98.627975,ESP,other_purse_seines,Fishing
224112790,94.54137,ESP,trollers,Fishing
227209970,94.54137,FRA,set_longlines,Fishing
232006490,94.54137,GBR,fixed_gear,Fishing
257155500,94.54137,NOR,fixed_gear,Fishing
257284000,94.54137,NOR,other_purse_seines,Fishing
258174001,94.54137,NOR,set_longlines,Fishing
273393130,94.54137,RUS,set_longlines,Fishing
273441490,98.627975,RUS,set_longlines,Fishing
273810400,94.54137,RUS,fishing,Fishing
273812400,91.84959,RUS,fixed_gear,Fishing
273814110,94.54137,RUS,set_longlines,Fishing
273842800,94.54137,RUS,set_longlines,Fishing
277230000,94.54137,LTU,pole_and_line,Fishing
303426100,91.84959,USA,pots_and_traps,Fishing
316004908,98.627975,CAN,fishing,Fishing
366070000,98.627975,USA,fishing,Fishing
366297000,91.84959,USA,set_longlines,Fishing
367625350,94.54137,USA,set_longlines,Fishing
412440423,86.89728,CHN,fishing,Fishing
412440443,89.839066,CHN,fishing,Fishing
412440758,91.84959,CHN,squid_jigger,Fishing
431007581,94.54137,JPN,fishing,Fishing
431601080,94.54137,JPN,pole_and_line,Fishing
432366000,88.2337,JPN,pole_and_line,Fishing
432441000,91.84959,JPN,pole_and_line,Fishing
503051550,94.54137,AUS,fishing,Fishing
601054800,91.84959,ZAF,fishing,Fishing
601505000,94.54137,ZAF,set_longlines,Fishing
657127700,94.54137,NGA,fishing,Fishing
659610000,98.627975,NAM,fishing,Fishing
775654321,86.89728,VEN,fishing,Fishing
200000792,94.54137,other,fishing,Fishing
204264000,94.54137,PRT,pole_and_line,Fishing
224007820,86.89728,ESP,fishing,Fishing
224010000,91.84959,ESP,set_longlines,Fishing
224011260,89.839066,ESP,set_longlines,Fishing
224227000,91.84959,ESP,fixed_gear,Fishing
224721000,91.84959,ESP,set_longlines,Fishing
231118000,94.54137,FRO,set_longlines,Fishing
247118400,98.627975,ITA,fishing,Fishing
257166400,94.54137,NOR,fishing,Fishing
258412000,94.54137,NOR,other_purse_seines,Fishing
259454000,98.627975,NOR,other_purse_seines,Fishing
273327440,94.54137,RUS,pots_and_traps,Fishing
273372520,98.627975,RUS,fixed_gear,Fishing
273847500,91.84959,RUS,set_longlines,Fishing
303628000,98.627975,USA,pots_and_traps,Fishing
316001012,91.84959,CAN,trollers,Fishing
316001843,94.54137,CAN,fishing,Fishing
316002328,94.54137,CAN,pole_and_line,Fishing
316004870,91.84959,CAN,fishing,Fishing
316010070,94.54137,CAN,fishing,Fishing
316033936,94.54137,CAN,trawlers,Fishing
316035965,94.54137,CAN,fixed_gear,Fishing
367011410,98.627975,USA,pots_and_traps,Fishing
367018620,91.84959,USA,pots_and_traps,Fishing
367402670,98.627975,USA,trollers,Fishing
367458380,98.627975,USA,pole_and_line,Fishing
367557840,91.84959,USA,set_longlines,Fishing
367578000,98.627975,USA,pots_and_traps,Fishing
367705000,94.54137,USA,pots_and_traps,Fishing
368010760,98.627975,USA,pots_and_traps,Fishing
412331069,89.839066,CHN,drifting_longlines,Fishing
412331135,86.89728,CHN,fishing,Fishing
412333748,94.54137,CHN,fishing,Fishing
412440478,88.2337,CHN,fishing,Fishing
412549034,98.627975,CHN,fishing,Fishing
416000947,83.06069,TWN,fishing,Fishing
416036500,91.84959,TWN,fishing,Fishing
431200170,88.2337,JPN,pole_and_line,Fishing
431258000,94.54137,JPN,pole_and_line,Fishing
431603290,91.84959,JPN,set_longlines,Fishing
432425000,91.84959,JPN,pole_and_line,Fishing
440117590,91.84959,KOR,pole_and_line,Fishing
503029610,89.839066,AUS,fishing,Fishing
512161000,91.84959,NZL,fishing,Fishing
601003400,91.84959,ZAF,fishing,Fishing
601137200,94.54137,ZAF,fishing,Fishing
601719000,94.54137,ZAF,pole_and_line,Fishing
645210000,91.84959,MUS,set_gillnets,Fishing
665111129,98.627975,SHN,set_longlines,Fishing
770576238,94.54137,URY,fishing,Fishing
196200000,91.84959,other,fishing,Fishing
200008115,83.06069,other,fishing,Fishing
224011990,91.84959,ESP,set_longlines,Fishing
224024480,98.627975,ESP,fishing,Fishing
224081130,94.54137,ESP,set_gillnets,Fishing
224792000,94.54137,ESP,set_longlines,Fishing
227574000,98.627975,FRA,set_gillnets,Fishing
