vessel_class,gap_hours,iuu_caught,spherical_distances,eez_check,Ocean List New whose false were in OG
other,15.41666667,0,5.327642063,1,atlantic
other,56.01666667,0,78.78693449,1,indian
other,20.41666667,0,14.0073058,1,indian
other,13.56666667,0,4.14164783,1,indian
other,13.88333333,0,5.113200147,1,indian
other,29.05,0,3.890843175,1,indian
other,61.31666667,0,88.49887246,0,atlantic
other,20.58333333,0,207.146171,1,atlantic
other,536.0166667,0,2224.739962,0,pacific
other,12.1,0,4.045854471,1,atlantic
other,42.73333333,0,597.5735088,1,atlantic
other,191.6666667,0,95.50516512,1,pacific
other,62.76666667,0,72.42208864,0,indian
other,14.63333333,0,37.66557768,0,atlantic
other,13.06666667,0,35.42443351,0,atlantic
other,13.11666667,0,1.256460258,1,atlantic
other,33.38333333,0,25.32782222,1,atlantic
other,13.56666667,0,232.6721368,1,atlantic
other,175.7166667,0,671.6436145,1,atlantic
other,12.11666667,0,162.3403009,1,atlantic
other,78.2,0,142.3649774,1,atlantic
other,25.05,0,410.8260999,1,atlantic
other,106.8666667,0,49.6238698,1,atlantic
other,29.11666667,0,222.2969631,1,atlantic
other,19.08333333,0,39.7353627,1,atlantic
other,14.63333333,0,119.7423321,1,atlantic
other,73.41666667,0,128.4326345,1,atlantic
other,48.96666667,0,28.51711918,1,atlantic
other,12.05,0,222.847467,1,atlantic
other,12.36666667,0,31.80464429,1,atlantic
other,20.11666667,0,3.351570503,1,atlantic
other,39.5,0,5.125694326,1,atlantic
other,37.98333333,0,21.17184952,1,atlantic
other,12.2,0,176.0476817,1,atlantic
other,14.46666667,0,34.4281435,1,atlantic
other,16.23333333,0,10.98390306,1,atlantic
other,12.76666667,0,32.76406901,1,atlantic
other,14.88333333,0,207.9545715,1,atlantic
other,14.78333333,0,12.57422698,1,atlantic
other,12.58333333,0,14.95675602,1,atlantic
other,35.86666667,0,49.63606108,1,atlantic
other,21.26666667,0,65.16052986,1,mediterranean
other,14.26666667,0,30.95998953,1,arctic
other,58.38333333,0,263.2870482,1,arctic
other,22.51666667,0,27.1991872,1,arctic
other,17.93333333,0,15.53330914,1,arctic
other,16.08333333,0,317.7882972,1,arctic
other,13.5,0,217.9649354,1,arctic
other,125.9833333,0,36.70190306,1,arctic
other,23.38333333,0,23.28588364,1,arctic
other,36.55,0,51.09673199,1,arctic
other,79.01666667,0,21.18714763,1,arctic
other,22.08333333,0,439.1379273,1,arctic
other,31.68333333,0,307.2199201,1,atlantic
other,15,0,16.20710763,0,atlantic
other,13.41666667,0,4.672808334,1,pacific
other,26.56666667,0,117.2367253,1,pacific
other,24.46666667,0,47.83215362,1,pacific
other,18.95,0,57.39126338,1,pacific
other,13.15,0,18.11743874,1,pacific
other,12.38333333,0,11.61487656,1,pacific
other,93.2,0,96.91635284,0,southern
other,88.43333333,0,997.0248048,0,pacific
other,12.7,0,53.540938,1,pacific
other,14.31666667,0,315.320152,1,pacific
other,26.78333333,0,369.286744,1,pacific
other,14.71666667,0,1.421164165,1,pacific
other,12.45,0,15.57742432,1,pacific
other,13.68333333,0,9.417188268,1,pacific
other,13.25,0,79.65903308,1,pacific
other,12.28333333,0,100.5109493,1,arctic
other,12.66666667,0,42.38233009,1,arctic
other,68.53333333,0,61.2367689,1,arctic
other,16.63333333,0,263.8452085,0,indian
other,13.68333333,0,26.08986428,1,pacific
other,21.95,0,29.90478029,1,pacific
other,146.75,0,235.5553087,0,pacific
other,15.68333333,0,18.59134951,1,arctic
other,14.41666667,0,140.090025,1,atlantic
other,133.9333333,0,63.01538116,1,pacific
other,948.6,0,159.1170274,1,atlantic
other,15.26666667,0,2.32624681,1,pacific
other,323.35,0,251.7724631,1,pacific
other,56.31666667,0,5.450820428,1,atlantic
other,13.3,0,21.89756204,1,atlantic
other,14.01666667,0,0.391782902,1,atlantic
other,130.2333333,0,4.354440871,1,atlantic
other,30.91666667,0,3.481289745,1,atlantic
other,14.08333333,0,3.867777912,1,atlantic
other,40.16666667,0,615.8935646,1,pacific
other,26.95,0,16.42960744,1,pacific
other,36.01666667,0,108.80724,1,atlantic
other,302.7833333,0,103.8904574,1,pacific
other,108.2,0,680.5980996,1,pacific
other,29.13333333,0,314.4400894,0,pacific
other,51.06666667,0,113.2101329,1,atlantic
other,22.1,0,6.442209479,1,pacific
other,43.83333333,0,0.805637876,1,atlantic
other,701.35,0,158.6004125,1,pacific
other,124.2833333,0,18.92108995,1,atlantic
other,20.66666667,0,28.86912414,1,atlantic
other,86.68333333,0,120.6901753,1,pacific
other,188.4166667,0,2158.772074,0,pacific
other,40.26666667,0,792.7263184,1,pacific
other,37.61666667,0,195.4037996,1,pacific
other,23.61666667,0,291.9017582,0,pacific
other,14.86666667,0,22.21833292,1,pacific
other,25.21666667,0,50.90455976,0,pacific
other,18.63333333,0,250.9396319,1,pacific
other,13.61666667,0,4.475952962,1,pacific
other,44.15,0,9.08336325,1,pacific
other,423.3333333,0,37.74380862,1,pacific
other,19.05,0,51.99938322,1,atlantic
other,240.45,0,313.3489002,1,pacific
other,85.56666667,0,89.8286458,1,pacific
other,64.73333333,0,30.09136704,1,pacific
other,28.55,0,38.41722613,0,pacific
other,19.11666667,0,328.2350055,0,atlantic
other,172.2833333,0,52.18568697,0,atlantic
other,949.35,0,18851.49553,0,atlantic
other,276.2666667,0,18865.50997,0,atlantic
