,oceans_list
1398,Atlantic
1399,Atlantic
1400,Atlantic
1401,Atlantic
1402,Atlantic
1403,Atlantic
1404,Atlantic
1405,Atlantic
1406,Atlantic
1407,Atlantic
1408,Atlantic
1409,Atlantic
1410,Atlantic
1411,Atlantic
1412,Atlantic
1413,Atlantic
1414,Atlantic
1415,Atlantic
1416,Atlantic
1417,Atlantic
1418,Atlantic
1419,Atlantic
1420,Atlantic
1421,Atlantic
1422,Atlantic
1423,Atlantic
1424,Atlantic
1425,Atlantic
1426,Atlantic
1427,Atlantic
1428,Atlantic
1429,Pacific
1430,Pacific
1431,Pacific
1432,Pacific
1433,Pacific
1434,Pacific
1435,Pacific
1436,Pacific
1437,Pacific
1438,Pacific
1439,Atlantic
1440,False
1441,Pacific
1442,Pacific
1443,Atlantic
1444,Pacific
1445,Pacific
1446,Pacific
1447,Pacific
1448,Atlantic
1449,Atlantic
1450,Atlantic
1451,Pacific
1452,Atlantic
1453,Pacific
1454,Pacific
1455,Atlantic
1456,Pacific
1457,Atlantic
1458,Atlantic
1459,Atlantic
1460,Atlantic
1461,Pacific
1462,Pacific
1463,Pacific
1464,Atlantic
1465,Pacific
1466,Pacific
1467,Pacific
1468,Pacific
1469,False
1470,Pacific
1471,Pacific
1472,Pacific
1473,Pacific
1474,Pacific
1475,Pacific
1476,Pacific
1477,False
1478,Pacific
1479,Pacific
1480,Pacific
1481,False
1482,Pacific
1483,Pacific
1484,Pacific
1485,Pacific
1486,Pacific
1487,Pacific
1488,Pacific
1489,Atlantic
1490,Pacific
1491,False
1492,Pacific
1493,Pacific
1494,Indian
1495,Atlantic
1496,Atlantic
1497,Atlantic
1498,Pacific
1499,Atlantic
1500,Pacific
1501,Pacific
1502,False
1503,Pacific
1504,Pacific
1505,Pacific
1506,Pacific
1507,Pacific
1508,Pacific
1509,Pacific
1510,Pacific
1511,False
1512,Atlantic
1513,Atlantic
1514,Atlantic
1515,Atlantic
1516,Atlantic
1517,Atlantic
1518,Atlantic
1519,Atlantic
1520,Atlantic
1521,Atlantic
1522,Atlantic
1523,Atlantic
1524,Pacific
1525,False
1526,Indian
1527,Indian
1528,Indian
1529,Indian
1530,Indian
1531,Indian
1532,Indian
1533,Pacific
1534,Pacific
1535,False
1536,False
1537,Atlantic
