,ocean
1987,atlantic
1988,false
1989,indian
1990,pacific
1991,pacific
1992,pacific
1993,indian
1994,indian
1995,false
1996,false
1997,indian
1998,false
1999,pacific
2000,pacific
2001,pacific
2002,false
2003,indian
2004,false
2005,indian
2006,pacific
2007,false
2008,pacific
2009,indian
2010,atlantic
2011,indian
2012,indian
2013,indian
2014,false
2015,false
2016,false
2017,false
2018,pacific
2019,pacific
2020,indian
2021,indian
2022,atlantic
2023,false
2024,false
2025,indian
2026,indian
2027,indian
2028,atlantic
2029,atlantic
2030,indian
2031,indian
2032,atlantic
2033,pacific
2034,indian
2035,indian
2036,pacific
2037,false
2038,pacific
2039,false
2040,false
2041,indian
2042,atlantic
2043,pacific
2044,pacific
2045,indian
2046,indian
2047,false
2048,indian
2049,pacific
2050,atlantic
2051,false
2052,pacific
2053,indian
2054,false
2055,indian
2056,false
2057,false
2058,indian
2059,pacific
2060,indian
2061,atlantic
2062,indian
2063,pacific
2064,pacific
2065,pacific
2066,pacific
2067,pacific
2068,pacific
2069,false
2070,atlantic
2071,atlantic
2072,atlantic
2073,false
2074,false
2075,false
2076,false
2077,indian
2078,false
2079,false
2080,pacific
2081,false
2082,pacific
2083,false
2084,false
2085,atlantic
2086,false
2087,atlantic
2088,pacific
2089,false
2090,false
2091,pacific
2092,false
2093,pacific
2094,pacific
2095,pacific
2096,indian
2097,indian
2098,false
2099,indian
2100,pacific
2101,indian
2102,indian
2103,false
2104,false
2105,false
2106,false
2107,false
2108,indian
2109,indian
2110,false
2111,pacific
2112,atlantic
2113,false
2114,pacific
2115,pacific
2116,indian
2117,false
2118,indian
2119,indian
2120,false
2121,false
2122,indian
2123,indian
2124,indian
2125,indian
2126,pacific
2127,indian
2128,indian
2129,indian
2130,indian
2131,atlantic
2132,pacific
2133,false
2134,false
2135,false
2136,pacific
2137,false
2138,pacific
2139,atlantic
2140,atlantic
2141,pacific
2142,false
2143,atlantic
2144,indian
2145,false
2146,false
2147,false
2148,false
2149,pacific
2150,indian
2151,indian
2152,atlantic
2153,atlantic
2154,indian
2155,indian
2156,atlantic
2157,pacific
2158,atlantic
2159,pacific
2160,false
2161,indian
2162,false
2163,pacific
2164,false
2165,false
2166,pacific
2167,pacific
2168,pacific
2169,pacific
2170,pacific
2171,false
2172,false
2173,false
2174,false
2175,false
2176,indian
2177,indian
2178,atlantic
2179,atlantic
2180,pacific
2181,indian
2182,indian
2183,false
2184,pacific
2185,false
2186,pacific
2187,indian
2188,pacific
2189,pacific
2190,pacific
2191,indian
2192,false
2193,indian
2194,pacific
2195,indian
2196,pacific
2197,false
2198,false
2199,pacific
2200,pacific
2201,pacific
2202,false
2203,false
2204,false
2205,pacific
2206,pacific
2207,false
2208,indian
2209,indian
2210,false
2211,false
2212,false
2213,indian
2214,pacific
2215,false
2216,pacific
2217,false
2218,false
2219,false
2220,indian
2221,false
2222,pacific
2223,false
2224,atlantic
2225,false
2226,pacific
2227,pacific
2228,indian
2229,indian
2230,false
2231,false
2232,pacific
2233,pacific
2234,false
2235,false
2236,pacific
2237,false
2238,pacific
2239,false
2240,false
2241,pacific
2242,false
2243,atlantic
2244,pacific
2245,indian
2246,indian
2247,false
2248,false
2249,indian
2250,atlantic
2251,false
2252,false
2253,pacific
2254,false
2255,atlantic
2256,false
2257,pacific
2258,pacific
2259,false
2260,atlantic
2261,atlantic
2262,false
2263,pacific
2264,false
2265,atlantic
2266,indian
2267,false
2268,pacific
2269,pacific
2270,false
2271,indian
2272,pacific
2273,atlantic
2274,indian
2275,pacific
2276,atlantic
2277,pacific
2278,false
2279,false
2280,false
2281,indian
2282,pacific
2283,indian
2284,false
2285,false
2286,indian
2287,false
2288,false
2289,atlantic
2290,false
2291,false
2292,indian
2293,false
2294,false
2295,indian
2296,pacific
2297,pacific
2298,false
2299,false
2300,false
2301,atlantic
2302,indian
2303,false
2304,false
2305,false
2306,atlantic
2307,indian
2308,pacific
2309,false
2310,false
2311,pacific
2312,indian
2313,false
2314,false
2315,false
